,datetime,temperature,temp_exterior
0,2019-02-19 19:00:00,18.6,8.2
1,2019-02-19 20:00:00,18.7,7.8
2,2019-02-19 21:00:00,19.0,7.0
3,2019-02-19 22:00:00,19.5,6.7
4,2019-02-19 23:00:00,19.2,5.9
5,2019-02-20 00:00:00,18.8,
6,2019-02-20 01:00:00,18.4,4.9
7,2019-02-20 02:00:00,18.0,4.2
8,2019-02-20 03:00:00,17.5,4.0
9,2019-02-20 04:00:00,17.1,3.9
10,2019-02-20 05:00:00,16.8,4.0
11,2019-02-20 06:00:00,16.4,3.4
12,2019-02-20 07:00:00,16.6,2.8
13,2019-02-20 08:00:00,17.0,2.7
14,2019-02-20 09:00:00,17.6,3.8
15,2019-02-20 10:00:00,18.5,4.9
16,2019-02-20 11:00:00,19.5,6.7
17,2019-02-20 12:00:00,19.3,9.1
18,2019-02-20 13:00:00,19.0,11.5
19,2019-02-20 14:00:00,19.1,12.6
20,2019-02-20 15:00:00,18.7,13.3
21,2019-02-20 16:00:00,17.9,12.8
22,2019-02-20 17:00:00,18.1,12.7
23,2019-02-20 18:00:00,18.4,11.6
24,2019-02-20 19:00:00,18.5,10.5
25,2019-02-20 20:00:00,18.8,9.7
26,2019-02-20 21:00:00,18.5,9.5
27,2019-02-20 22:00:00,17.7,9.2
28,2019-02-20 23:00:00,18.5,8.5
29,2019-02-21 00:00:00,18.9,
30,2019-02-21 01:00:00,18.8,7.0
31,2019-02-21 02:00:00,18.6,5.9
32,2019-02-21 03:00:00,18.4,5.6
33,2019-02-21 04:00:00,18.2,5.1
34,2019-02-21 05:00:00,18.1,5.3
35,2019-02-21 06:00:00,18.2,4.5
36,2019-02-21 07:00:00,18.6,4.3
37,2019-02-21 08:00:00,16.8,4.4
38,2019-02-21 09:00:00,16.7,5.2
39,2019-02-21 10:00:00,16.9,6.9
40,2019-02-21 11:00:00,17.0,9.7
41,2019-02-21 12:00:00,16.9,11.9
42,2019-02-21 13:00:00,17.0,13.7
43,2019-02-21 14:00:00,17.3,15.3
44,2019-02-21 15:00:00,17.1,16.3
45,2019-02-21 16:00:00,16.8,15.6
46,2019-02-21 17:00:00,16.3,15.0
47,2019-02-21 18:00:00,16.1,14.3
48,2019-02-21 19:00:00,16.6,12.5
49,2019-02-21 20:00:00,17.1,12.0
50,2019-02-21 21:00:00,17.4,11.1
51,2019-02-21 22:00:00,17.7,10.9
52,2019-02-21 23:00:00,18.5,9.7
53,2019-02-22 00:00:00,18.2,
54,2019-02-22 01:00:00,17.7,7.9
55,2019-02-22 02:00:00,17.2,6.8
56,2019-02-22 03:00:00,16.8,6.1
57,2019-02-22 04:00:00,16.5,5.9
58,2019-02-22 05:00:00,16.2,5.6
59,2019-02-22 06:00:00,16.4,5.3
60,2019-02-22 07:00:00,18.1,5.5
61,2019-02-22 08:00:00,18.1,5.3
62,2019-02-22 09:00:00,17.5,6.5
63,2019-02-22 10:00:00,18.2,9.2
64,2019-02-22 11:00:00,18.3,11.9
65,2019-02-22 12:00:00,17.9,13.1
66,2019-02-22 13:00:00,17.8,14.9
67,2019-02-22 14:00:00,17.7,17.0
68,2019-02-22 15:00:00,17.6,17.7
69,2019-02-22 16:00:00,17.5,16.9
70,2019-02-22 17:00:00,17.2,16.4
71,2019-02-22 18:00:00,17.4,15.0
72,2019-02-22 19:00:00,18.9,13.5
73,2019-02-22 20:00:00,19.5,13.1
74,2019-02-22 21:00:00,18.8,12.8
75,2019-02-22 22:00:00,18.0,12.2
76,2019-02-22 23:00:00,17.4,11.3
77,2019-02-23 00:00:00,16.9,
78,2019-02-23 01:00:00,16.6,10.5
79,2019-02-23 02:00:00,17.1,9.9
80,2019-02-23 03:00:00,17.4,9.5
81,2019-02-23 04:00:00,17.2,9.1
82,2019-02-23 05:00:00,17.0,8.3
83,2019-02-23 06:00:00,16.9,7.8
84,2019-02-23 07:00:00,17.4,7.4
85,2019-02-23 08:00:00,18.1,6.8
86,2019-02-23 09:00:00,17.6,7.4
87,2019-02-23 10:00:00,17.3,9.4
88,2019-02-23 11:00:00,17.1,11.1
89,2019-02-23 12:00:00,17.7,12.5
90,2019-02-23 13:00:00,19.5,14.0
91,2019-02-23 14:00:00,19.3,15.4
92,2019-02-23 15:00:00,19.2,16.6
93,2019-02-23 16:00:00,19.7,15.7
94,2019-02-23 17:00:00,19.0,15.1
95,2019-02-23 18:00:00,19.7,14.2
96,2019-02-23 19:00:00,19.4,12.7
97,2019-02-23 20:00:00,18.7,11.7
98,2019-02-23 21:00:00,17.5,11.1
99,2019-02-23 22:00:00,17.0,10.5
100,2019-02-23 23:00:00,17.6,9.7
101,2019-02-24 00:00:00,17.3,
102,2019-02-24 01:00:00,17.1,8.6
103,2019-02-24 02:00:00,16.9,7.8
104,2019-02-24 03:00:00,16.5,6.7
105,2019-02-24 04:00:00,16.9,6.5
106,2019-02-24 05:00:00,16.7,5.9
107,2019-02-24 06:00:00,16.4,5.1
108,2019-02-24 07:00:00,16.3,5.1
109,2019-02-24 08:00:00,16.4,4.3
110,2019-02-24 09:00:00,16.8,5.3
111,2019-02-24 10:00:00,17.0,7.6
112,2019-02-24 11:00:00,17.1,8.8
113,2019-02-24 12:00:00,17.1,10.1
114,2019-02-24 13:00:00,17.1,12.5
115,2019-02-24 14:00:00,17.0,14.6
116,2019-02-24 15:00:00,16.9,15.5
117,2019-02-24 16:00:00,16.9,15.0
118,2019-02-24 17:00:00,17.1,14.5
119,2019-02-24 18:00:00,17.7,13.1
120,2019-02-24 19:00:00,17.8,12.0
121,2019-02-24 20:00:00,17.4,11.1
122,2019-02-24 21:00:00,17.1,10.1
123,2019-02-24 22:00:00,16.8,9.8
124,2019-02-24 23:00:00,16.6,9.4
125,2019-02-25 00:00:00,16.4,
126,2019-02-25 01:00:00,16.2,8.7
127,2019-02-25 02:00:00,16.0,8.0
128,2019-02-25 03:00:00,15.8,8.2
129,2019-02-25 04:00:00,15.7,7.2
130,2019-02-25 05:00:00,15.7,6.6
131,2019-02-25 06:00:00,15.7,6.7
132,2019-02-25 07:00:00,15.7,6.6
133,2019-02-25 08:00:00,16.0,6.5
134,2019-02-25 09:00:00,15.9,7.1
135,2019-02-25 10:00:00,15.7,10.0
136,2019-02-25 11:00:00,15.6,11.1
137,2019-02-25 12:00:00,15.6,12.6
138,2019-02-25 13:00:00,15.7,15.0
139,2019-02-25 14:00:00,15.9,17.0
140,2019-02-25 15:00:00,15.9,17.8
141,2019-02-25 16:00:00,15.9,17.3
142,2019-02-25 17:00:00,15.8,16.6
143,2019-02-25 18:00:00,15.9,15.2
144,2019-02-25 19:00:00,16.7,14.1
145,2019-02-25 20:00:00,17.1,13.5
146,2019-02-25 21:00:00,17.9,12.6
147,2019-02-25 22:00:00,18.2,12.8
148,2019-02-25 23:00:00,17.7,11.7
149,2019-02-26 00:00:00,17.3,
150,2019-02-26 01:00:00,17.0,10.4
151,2019-02-26 02:00:00,16.7,10.0
152,2019-02-26 03:00:00,16.5,9.4
153,2019-02-26 04:00:00,16.3,9.3
154,2019-02-26 05:00:00,16.1,8.3
155,2019-02-26 06:00:00,16.1,7.8
156,2019-02-26 07:00:00,16.4,7.3
157,2019-02-26 08:00:00,15.6,6.8
158,2019-02-26 09:00:00,15.4,7.6
159,2019-02-26 10:00:00,15.4,11.4
160,2019-02-26 11:00:00,15.5,12.3
161,2019-02-26 12:00:00,15.6,13.7
162,2019-02-26 13:00:00,15.8,16.1
163,2019-02-26 14:00:00,16.0,18.1
164,2019-02-26 15:00:00,16.1,18.8
165,2019-02-26 16:00:00,16.1,18.7
166,2019-02-26 17:00:00,15.9,18.0
167,2019-02-26 18:00:00,16.0,16.8
168,2019-02-26 19:00:00,16.9,14.9
169,2019-02-26 20:00:00,17.2,14.0
170,2019-02-26 21:00:00,16.9,13.4
171,2019-02-26 22:00:00,16.6,12.8
172,2019-02-26 23:00:00,16.7,11.4
173,2019-02-27 00:00:00,16.5,
174,2019-02-27 01:00:00,16.2,9.8
175,2019-02-27 02:00:00,15.9,8.8
176,2019-02-27 03:00:00,16.6,8.4
177,2019-02-27 04:00:00,16.7,7.8
178,2019-02-27 05:00:00,16.2,7.2
179,2019-02-27 06:00:00,16.2,6.4
180,2019-02-27 07:00:00,17.3,5.8
181,2019-02-27 08:00:00,17.1,5.4
182,2019-02-27 09:00:00,16.6,6.6
183,2019-02-27 10:00:00,16.3,11.0
184,2019-02-27 11:00:00,16.3,12.3
185,2019-02-27 12:00:00,16.4,14.4
186,2019-02-27 13:00:00,16.6,17.1
187,2019-02-27 14:00:00,16.7,19.1
188,2019-02-27 15:00:00,16.7,20.2
189,2019-02-27 16:00:00,16.7,20.0
190,2019-02-27 17:00:00,16.5,19.4
191,2019-02-27 18:00:00,16.7,18.2
192,2019-02-27 19:00:00,17.7,16.5
193,2019-02-27 20:00:00,17.7,15.6
194,2019-02-27 21:00:00,17.5,14.2
195,2019-02-27 22:00:00,17.0,14.0
196,2019-02-27 23:00:00,16.9,12.0
197,2019-02-28 00:00:00,16.8,
198,2019-02-28 01:00:00,16.7,10.8
199,2019-02-28 02:00:00,16.5,9.8
200,2019-02-28 03:00:00,16.3,9.2
201,2019-02-28 04:00:00,16.1,7.8
202,2019-02-28 05:00:00,15.9,8.1
203,2019-02-28 06:00:00,16.4,11.5
204,2019-02-28 07:00:00,17.6,11.8
205,2019-02-28 08:00:00,17.5,10.7
206,2019-02-28 09:00:00,17.2,10.8
207,2019-02-28 10:00:00,17.2,9.9
208,2019-02-28 11:00:00,17.4,12.6
209,2019-02-28 12:00:00,17.6,12.8
210,2019-02-28 13:00:00,17.9,13.3
211,2019-02-28 14:00:00,17.9,14.1
212,2019-02-28 15:00:00,17.9,14.2
213,2019-02-28 16:00:00,17.8,15.2
214,2019-02-28 17:00:00,17.5,14.2
215,2019-02-28 18:00:00,17.2,12.7
216,2019-02-28 19:00:00,16.9,11.6
